neighborhood,year,month,incident_type,response_min
Edison Park,2022,4,Police,4.49
Lincoln Square,2021,5,Police,10.23
Mount Greenwood,2019,4,Police,8.53
Lincoln Square,2022,4,Fire,7.09
Washington Park,2021,9,Police,11.55
Uptown,2021,6,Medical,8.67
West Pullman,2020,3,Medical,6.52
Uptown,2022,3,Medical,6.51
Woodlawn,2020,10,Medical,11.69
Chatham,2019,8,Police,11.13
West Pullman,2019,3,Medical,7.67
Near West Side,2024,4,Police,11.0
Near South Side,2021,6,Police,9.16
Lake View,2022,9,Police,6.37
North Lawndale,2024,6,Medical,11.07
South Shore,2021,3,Fire,9.28
Douglas,2022,12,Police,8.17
Near South Side,2020,6,Medical,8.09
Lincoln Park,2019,4,Police,2.82
Rogers Park,2024,5,Police,9.13
Lake View,2024,5,Medical,3.82
Morgan Park,2019,3,Medical,7.25
Irving Park,2020,5,Medical,12.83
Hyde Park,2023,12,Police,7.42
Englewood,2023,12,Medical,11.73
Humboldt Park,2023,5,Police,8.62
Hyde Park,2022,7,Medical,5.99
Woodlawn,2024,9,Fire,12.51
Jefferson Park,2020,5,Medical,7.68
Hyde Park,2022,9,Fire,6.11
Douglas,2022,5,Medical,4.58
Roseland,2020,4,Police,8.43
West Garfield Park,2022,6,Medical,10.1
Hyde Park,2024,8,Police,11.14
Greater Grand Crossing,2020,4,Police,14.3
Rogers Park,2023,5,Police,9.51
Edison Park,2023,10,Medical,9.17
West Englewood,2022,1,Medical,11.33
West Town,2019,10,Fire,11.01
Douglas,2020,12,Police,8.06
Humboldt Park,2021,1,Medical,9.51
Hyde Park,2021,8,Medical,6.98
South Shore,2022,7,Police,9.61
Grand Boulevard,2019,5,Fire,5.52
Humboldt Park,2020,9,Police,10.1
Kenwood,2023,1,Fire,5.61
West Ridge,2022,3,Medical,18.55
Hyde Park,2020,6,Police,10.29
Humboldt Park,2020,1,Police,13.12
Near North Side,2020,12,Police,5.43
Uptown,2019,6,Medical,11.04
Grand Boulevard,2020,2,Fire,8.62
North Lawndale,2019,10,Medical,10.14
Beverly,2019,5,Police,2.66
West Englewood,2024,11,Medical,7.22
West Town,2020,10,Police,9.54
Washington Park,2024,2,Medical,7.62
Auburn Gresham,2023,1,Medical,10.8
South Shore,2024,12,Police,10.48
Albany Park,2024,12,Police,9.89
Washington Heights,2020,4,Police,11.18
West Garfield Park,2023,2,Medical,10.21
Washington Heights,2022,9,Medical,9.15
Douglas,2021,12,Police,10.79
Hyde Park,2022,11,Police,7.21
Washington Park,2019,11,Police,12.89
West Garfield Park,2022,3,Medical,12.82
Logan Square,2021,12,Medical,6.61
Loop,2021,9,Police,6.16
Washington Park,2023,4,Medical,4.13
Lincoln Square,2022,10,Fire,5.1
Albany Park,2019,12,Fire,7.34
Uptown,2024,7,Police,6.6
Morgan Park,2024,7,Medical,6.37
North Lawndale,2019,6,Police,11.16
Greater Grand Crossing,2023,8,Medical,12.96
Douglas,2024,11,Medical,9.36
Englewood,2023,11,Medical,9.89
Edison Park,2024,6,Police,4.77
Mount Greenwood,2024,9,Police,8.67
Near West Side,2022,5,Fire,9.7
Morgan Park,2023,11,Police,6.72
Auburn Gresham,2021,3,Police,7.08
Lincoln Park,2019,5,Medical,6.8
Hyde Park,2024,4,Medical,8.67
Englewood,2021,3,Police,12.31
Lincoln Park,2020,1,Police,6.99
Auburn Gresham,2021,8,Fire,11.2
Riverdale,2019,4,Police,14.76
Douglas,2020,12,Medical,7.1
Near South Side,2022,3,Police,10.83
Lincoln Park,2020,12,Police,5.01
Lincoln Park,2023,4,Police,4.66
Lincoln Square,2019,1,Police,9.48
Roseland,2023,12,Medical,6.39
Portage Park,2021,6,Police,11.41
Roseland,2022,3,Police,8.52
Pullman,2019,8,Medical,8.67
Kenwood,2022,11,Fire,6.73
Jefferson Park,2024,10,Medical,8.39
Uptown,2019,5,Police,7.86
Pullman,2023,9,Police,6.35
Mount Greenwood,2021,9,Police,12.27
Auburn Gresham,2020,11,Police,9.52
Greater Grand Crossing,2022,2,Medical,7.64
Kenwood,2019,5,Medical,8.6
Pullman,2019,7,Medical,9.71
Lincoln Park,2024,7,Fire,4.82
West Ridge,2022,10,Medical,7.9
Loop,2020,3,Medical,5.43
South Shore,2021,7,Medical,9.42
Portage Park,2019,7,Medical,9.55
Lincoln Square,2019,4,Medical,6.92
West Town,2022,11,Police,8.38
Lincoln Park,2022,7,Police,4.2
Roseland,2019,8,Medical,8.62
Beverly,2019,3,Fire,6.52
West Ridge,2024,2,Police,7.47
West Town,2019,9,Police,12.95
Portage Park,2023,12,Medical,5.78
Edison Park,2019,12,Medical,3.91
Hyde Park,2021,7,Fire,4.42
Lake View,2021,1,Police,7.43
Lincoln Park,2024,10,Medical,7.17
Hyde Park,2020,10,Medical,9.49
Lincoln Square,2022,9,Medical,10.09
Near West Side,2020,5,Medical,8.71
Loop,2019,2,Medical,5.97
Riverdale,2022,7,Police,15.5
Loop,2019,9,Police,5.38
Irving Park,2022,3,Medical,8.73
Rogers Park,2024,4,Police,8.34
Hyde Park,2023,9,Medical,6.78
Humboldt Park,2023,2,Fire,16.05
Beverly,2023,4,Police,6.1
Auburn Gresham,2024,5,Medical,8.42
Portage Park,2020,4,Medical,7.47
Greater Grand Crossing,2022,7,Medical,11.53
Logan Square,2020,6,Fire,13.5
Uptown,2022,9,Police,7.48
Riverdale,2019,11,Police,13.82
Lincoln Park,2023,4,Medical,6.78
Albany Park,2023,11,Fire,7.24
Lake View,2022,9,Police,8.16
Grand Boulevard,2020,1,Fire,7.8
Albany Park,2020,12,Medical,9.45
West Ridge,2021,6,Police,6.39
Logan Square,2023,7,Police,11.64
Mount Greenwood,2023,9,Medical,8.62
West Ridge,2020,1,Medical,6.58
Loop,2023,11,Fire,8.38
Rogers Park,2020,12,Police,11.99
Auburn Gresham,2021,12,Police,11.97
Jefferson Park,2022,1,Police,13.08
West Garfield Park,2022,2,Medical,8.82
Jefferson Park,2021,6,Police,8.54
Portage Park,2023,3,Fire,6.39
West Town,2019,11,Police,10.21
Kenwood,2023,6,Police,8.49
Beverly,2020,2,Police,8.87
West Englewood,2024,10,Medical,13.59
Roseland,2019,6,Police,15.01
Pullman,2021,7,Medical,5.88
Lake View,2022,6,Medical,6.13
Humboldt Park,2022,2,Fire,10.04
Portage Park,2023,5,Police,4.47
Jefferson Park,2022,10,Fire,11.76
Englewood,2023,6,Medical,11.76
Irving Park,2020,8,Medical,6.68
West Englewood,2020,9,Medical,9.68
West Englewood,2021,5,Medical,7.63
Rogers Park,2024,12,Police,10.12
Mount Greenwood,2020,7,Medical,6.0
Douglas,2023,4,Police,6.69
Chatham,2022,10,Medical,11.61
Edison Park,2020,12,Medical,8.91
Portage Park,2020,5,Fire,2.76
Morgan Park,2023,1,Police,10.4
Auburn Gresham,2020,3,Medical,9.79
Humboldt Park,2022,2,Police,9.47
Roseland,2024,6,Fire,7.05
West Englewood,2022,9,Police,9.35
Near South Side,2024,10,Police,6.72
Auburn Gresham,2022,3,Medical,8.07
Lake View,2022,12,Fire,5.82
Near West Side,2019,11,Police,11.46
Humboldt Park,2022,12,Police,10.02
Hyde Park,2019,2,Fire,6.38
Lincoln Square,2022,2,Police,11.81
Washington Park,2022,6,Police,10.0
Washington Park,2023,10,Fire,11.56
North Lawndale,2024,6,Medical,5.59
Mount Greenwood,2022,5,Fire,6.31
Edison Park,2020,9,Medical,8.19
Washington Heights,2022,7,Medical,8.28
Mount Greenwood,2021,7,Police,8.14
Humboldt Park,2023,11,Police,12.33
West Pullman,2023,1,Medical,13.6
Beverly,2022,10,Medical,8.24
Riverdale,2021,10,Police,12.26
Grand Boulevard,2024,2,Police,11.82
West Town,2022,12,Medical,11.91
Riverdale,2020,3,Fire,11.68
Washington Park,2023,5,Police,9.32
West Garfield Park,2023,11,Police,16.75
Riverdale,2024,12,Fire,7.2
West Ridge,2021,4,Police,9.66
Humboldt Park,2019,8,Police,11.02
Mount Greenwood,2024,11,Police,7.24
Mount Greenwood,2021,4,Police,6.41
Washington Heights,2020,6,Medical,8.91
Lincoln Park,2021,9,Medical,3.56
Lincoln Park,2024,2,Medical,3.61
Uptown,2019,8,Medical,13.61
Near North Side,2020,12,Medical,4.59
Edison Park,2020,5,Police,5.27
West Town,2019,10,Police,11.83
Chatham,2022,6,Medical,5.78
Riverdale,2021,3,Police,11.07
Roseland,2024,8,Police,10.56
Washington Heights,2020,2,Police,11.08
Woodlawn,2024,1,Police,11.9
Greater Grand Crossing,2021,11,Medical,10.34
Chatham,2019,12,Police,11.91
Beverly,2023,1,Medical,6.0
Riverdale,2019,8,Police,12.32
Auburn Gresham,2021,2,Medical,11.93
Woodlawn,2020,5,Police,12.95
Riverdale,2021,2,Police,8.33
Lincoln Square,2023,11,Fire,10.21
Douglas,2020,4,Police,8.16
West Ridge,2023,9,Police,9.92
Albany Park,2022,2,Medical,6.74
Lake View,2024,4,Fire,3.15
Albany Park,2019,10,Medical,5.36
Riverdale,2022,5,Police,10.99
Beverly,2021,10,Police,8.23
Logan Square,2022,10,Fire,6.92
Pullman,2019,5,Fire,9.98
Greater Grand Crossing,2020,12,Medical,20.25
Kenwood,2024,12,Medical,17.86
West Town,2023,5,Medical,8.34
Chatham,2020,10,Medical,6.69
Edison Park,2024,10,Medical,8.63
Lake View,2022,2,Medical,8.47
Chatham,2021,8,Police,14.33
Lincoln Square,2022,11,Fire,13.52
Irving Park,2019,5,Police,10.82
West Ridge,2019,6,Police,9.51
Woodlawn,2021,8,Police,12.85
Pullman,2024,8,Police,11.0
Greater Grand Crossing,2020,10,Police,12.81
Greater Grand Crossing,2019,7,Medical,11.76
Hyde Park,2019,8,Fire,5.37
Woodlawn,2021,10,Medical,12.6
Lake View,2020,11,Fire,6.99
Loop,2022,7,Police,5.8
Portage Park,2023,10,Medical,7.27
Albany Park,2021,6,Medical,8.7
Mount Greenwood,2020,5,Medical,8.05
Beverly,2023,5,Police,7.28
Lincoln Park,2021,8,Medical,3.6
Edison Park,2022,1,Medical,9.23
Grand Boulevard,2022,2,Medical,9.13
Hyde Park,2020,1,Medical,7.52
Irving Park,2020,10,Medical,8.49
Hyde Park,2022,7,Police,7.62
Logan Square,2022,9,Medical,6.8
Mount Greenwood,2021,7,Police,7.81
North Lawndale,2024,9,Police,13.89
Washington Park,2024,4,Fire,6.88
Riverdale,2020,7,Medical,10.57
Mount Greenwood,2023,12,Police,6.07
Irving Park,2022,10,Medical,9.48
Greater Grand Crossing,2023,10,Police,9.95
Lincoln Square,2020,7,Medical,9.33
Lake View,2020,10,Medical,4.49
Auburn Gresham,2019,10,Medical,6.59
Edison Park,2022,2,Police,8.9
South Shore,2024,2,Police,10.96
Pullman,2024,8,Police,9.17
Jefferson Park,2020,2,Police,11.72
Chatham,2020,1,Police,9.95
Humboldt Park,2022,1,Medical,10.6
Mount Greenwood,2019,1,Police,5.66
Morgan Park,2019,6,Police,7.98
Douglas,2019,5,Fire,6.07
Portage Park,2019,7,Medical,11.4
Grand Boulevard,2021,3,Police,6.08
Rogers Park,2022,5,Medical,8.9
Auburn Gresham,2022,2,Fire,7.81
Near South Side,2022,11,Medical,6.73
Hyde Park,2024,9,Medical,11.51
Greater Grand Crossing,2019,9,Police,15.61
Grand Boulevard,2019,4,Medical,8.3
Rogers Park,2024,2,Fire,12.84
Mount Greenwood,2024,10,Medical,8.91
West Town,2020,8,Medical,11.6
Near South Side,2021,4,Police,9.16
Jefferson Park,2024,5,Police,8.75
Jefferson Park,2022,4,Fire,10.22
Albany Park,2021,2,Police,7.52
Hyde Park,2024,6,Police,8.28
Morgan Park,2022,1,Police,9.88
West Englewood,2019,12,Medical,6.04
Washington Park,2019,8,Police,10.99
Hyde Park,2022,11,Police,6.45
Portage Park,2023,1,Medical,5.65
Beverly,2019,5,Medical,5.75
West Ridge,2020,9,Police,11.62
Near North Side,2024,1,Police,5.17
North Lawndale,2019,10,Medical,6.81
Woodlawn,2020,7,Police,9.3
Englewood,2021,7,Police,11.07
Woodlawn,2019,5,Medical,9.58
West Garfield Park,2024,4,Fire,10.3
Kenwood,2019,9,Fire,7.27
Washington Park,2024,5,Fire,9.3
Near North Side,2021,1,Fire,5.36
Lincoln Park,2024,9,Medical,5.14
Kenwood,2020,11,Medical,8.51
Riverdale,2023,12,Medical,8.73
Chatham,2024,5,Medical,7.53
Douglas,2024,9,Police,8.43
Hyde Park,2020,11,Police,5.58
South Shore,2022,11,Police,11.74
Near South Side,2022,8,Fire,5.41
Near North Side,2022,12,Police,5.12
West Garfield Park,2024,10,Medical,10.92
Loop,2021,7,Medical,4.12
Morgan Park,2020,11,Medical,6.05
Loop,2024,12,Police,7.65
Douglas,2019,6,Fire,9.01
South Shore,2024,9,Medical,10.9
Mount Greenwood,2022,12,Police,5.69
Near North Side,2020,4,Fire,4.46
Rogers Park,2019,5,Medical,8.5
West Pullman,2020,12,Police,13.55
Logan Square,2021,1,Police,11.42
Roseland,2022,7,Police,14.32
Grand Boulevard,2023,6,Medical,6.7
Near West Side,2024,11,Medical,5.97
West Pullman,2022,7,Police,9.82
Roseland,2022,1,Medical,10.42
Chatham,2021,7,Fire,10.08
Chatham,2019,7,Fire,4.97
Roseland,2022,8,Medical,7.49
Austin,2019,2,Medical,8.47
Mount Greenwood,2019,1,Police,10.23
Near West Side,2021,12,Police,8.06
North Lawndale,2022,1,Medical,7.55
Rogers Park,2024,8,Police,10.53
Humboldt Park,2021,7,Police,13.69
West Ridge,2021,9,Fire,9.61
South Shore,2023,2,Fire,14.01
Roseland,2024,4,Police,10.78
Beverly,2021,8,Fire,2.7
Lincoln Square,2023,6,Police,9.49
Rogers Park,2019,2,Fire,10.11
Edison Park,2024,10,Fire,5.77
Chatham,2024,2,Medical,9.08
Washington Heights,2019,7,Medical,9.01
Uptown,2020,9,Police,7.97
West Pullman,2024,8,Medical,9.66
Albany Park,2020,2,Police,8.92
Albany Park,2019,3,Police,13.42
Near West Side,2022,8,Police,10.1
Englewood,2020,4,Police,9.43
Riverdale,2021,6,Police,12.61
Grand Boulevard,2024,12,Fire,10.31
South Shore,2020,2,Police,8.52
West Pullman,2024,1,Fire,10.03
Near North Side,2019,6,Medical,1.95
Chatham,2022,8,Police,7.16
Edison Park,2019,5,Police,8.58
Rogers Park,2022,1,Medical,7.56
Uptown,2024,10,Police,10.29
Kenwood,2020,2,Medical,10.24
Grand Boulevard,2021,3,Medical,7.71
Edison Park,2021,12,Fire,5.75
Auburn Gresham,2019,2,Medical,12.39
Uptown,2024,9,Medical,5.32
Riverdale,2022,10,Fire,9.56
South Shore,2020,2,Medical,9.06
Edison Park,2022,3,Police,10.52
Englewood,2022,9,Medical,5.57
West Englewood,2022,11,Medical,12.25
West Pullman,2024,3,Medical,5.7
Kenwood,2020,8,Police,7.72
Humboldt Park,2024,8,Police,14.38
West Pullman,2022,11,Police,9.06
Austin,2024,3,Medical,10.09
Lincoln Square,2021,10,Medical,10.2
Auburn Gresham,2019,12,Medical,9.52
Near South Side,2023,10,Fire,9.22
Humboldt Park,2022,3,Fire,11.98
Pullman,2021,8,Medical,7.38
North Lawndale,2024,3,Medical,7.77
Near North Side,2021,4,Police,12.33
Albany Park,2019,5,Police,10.23
Near North Side,2019,7,Medical,4.81
Riverdale,2023,1,Medical,11.26
Grand Boulevard,2023,8,Police,8.83
Near South Side,2023,3,Fire,9.78
Near West Side,2020,7,Police,14.48
Near West Side,2020,11,Fire,5.18
Greater Grand Crossing,2021,10,Fire,9.8
Chatham,2024,11,Medical,7.88
North Lawndale,2019,3,Police,9.54
West Ridge,2022,9,Police,6.4
Rogers Park,2019,10,Medical,10.3
Lake View,2020,5,Police,13.24
Loop,2021,3,Medical,7.22
Portage Park,2022,3,Fire,11.78
West Ridge,2023,4,Police,10.66
Uptown,2023,5,Medical,6.29
Grand Boulevard,2020,5,Police,8.89
Irving Park,2021,8,Police,10.17
Loop,2024,10,Medical,3.07
Lake View,2019,6,Police,3.74
Auburn Gresham,2020,5,Medical,10.89
Beverly,2024,2,Medical,3.25
Roseland,2024,5,Medical,11.35
Jefferson Park,2019,7,Police,7.03
Englewood,2022,11,Medical,10.62
West Englewood,2019,3,Police,7.38
Douglas,2022,12,Police,7.85
Kenwood,2024,7,Fire,12.13
West Garfield Park,2021,1,Fire,8.85
Albany Park,2020,6,Police,9.17
Roseland,2019,1,Police,12.3
Grand Boulevard,2021,7,Fire,8.23
West Pullman,2021,6,Medical,9.94
West Garfield Park,2019,10,Police,10.76
West Garfield Park,2023,11,Medical,10.04
Humboldt Park,2024,1,Medical,10.16
Jefferson Park,2023,9,Police,8.88
Mount Greenwood,2022,5,Police,5.52
West Ridge,2021,11,Medical,6.68
Washington Park,2020,7,Police,7.88
Washington Heights,2020,12,Fire,6.99
Jefferson Park,2021,1,Police,10.13
Douglas,2023,11,Medical,8.31
Lincoln Square,2024,11,Police,6.48
Hyde Park,2021,8,Medical,5.15
Chatham,2022,8,Police,7.08
Englewood,2021,9,Police,13.31
Grand Boulevard,2019,2,Police,14.41
Auburn Gresham,2023,6,Medical,9.61
Portage Park,2019,10,Police,8.28
Lincoln Park,2019,5,Medical,5.05
North Lawndale,2021,6,Medical,11.15
Near South Side,2024,5,Medical,9.99
Greater Grand Crossing,2021,11,Medical,13.44
Morgan Park,2024,1,Medical,12.01
Beverly,2020,2,Police,5.55
Englewood,2024,3,Police,12.11
West Garfield Park,2019,7,Medical,12.06
Auburn Gresham,2021,10,Fire,5.52
Washington Park,2020,9,Medical,5.42
Beverly,2019,2,Police,11.97
Irving Park,2020,12,Medical,7.03
Grand Boulevard,2023,10,Medical,8.84
Douglas,2022,1,Medical,6.29
Near South Side,2019,1,Medical,7.76
Woodlawn,2021,4,Medical,8.9
Pullman,2024,9,Fire,7.6
Lincoln Park,2023,4,Police,4.55
Woodlawn,2020,3,Police,12.14
Mount Greenwood,2022,10,Police,5.57
Englewood,2024,8,Medical,8.3
Irving Park,2019,9,Medical,10.83
Near North Side,2022,5,Medical,1.85
Albany Park,2023,2,Medical,6.08
West Garfield Park,2022,4,Medical,7.61
Hyde Park,2019,10,Fire,10.84
Near South Side,2023,8,Police,11.72
South Shore,2020,2,Medical,9.07
West Ridge,2019,9,Medical,10.89
Rogers Park,2022,11,Medical,10.35
Greater Grand Crossing,2019,12,Medical,10.37
Hyde Park,2023,5,Police,7.05
Chatham,2022,12,Medical,8.73
Near South Side,2020,7,Police,13.7
Portage Park,2024,5,Medical,8.32
Mount Greenwood,2021,3,Medical,4.62
Portage Park,2020,2,Fire,7.22
Greater Grand Crossing,2019,3,Medical,8.15
Washington Heights,2021,2,Police,12.13
Mount Greenwood,2024,2,Police,9.05
West Englewood,2024,2,Medical,15.0
Englewood,2023,12,Police,11.9
Kenwood,2024,11,Medical,10.11
Douglas,2022,2,Police,8.11
Lake View,2022,8,Police,6.89
Riverdale,2023,5,Medical,11.19
Greater Grand Crossing,2024,9,Police,11.08
Loop,2019,11,Police,4.71
Near West Side,2020,12,Police,8.53
West Englewood,2021,5,Police,13.99
West Garfield Park,2023,1,Medical,7.93
Englewood,2024,8,Police,13.28
Jefferson Park,2019,3,Police,12.3
Hyde Park,2019,10,Medical,8.42
West Ridge,2021,11,Police,11.25
Jefferson Park,2023,10,Police,9.25
Jefferson Park,2020,2,Police,6.71
Mount Greenwood,2020,6,Police,4.85
West Garfield Park,2023,4,Medical,8.93
Rogers Park,2022,4,Police,10.75
Washington Park,2024,9,Police,8.17
Mount Greenwood,2020,10,Medical,7.2
Washington Park,2022,12,Medical,8.76
Washington Heights,2023,8,Police,8.09
West Englewood,2024,3,Medical,11.53
Uptown,2019,9,Police,9.96
Auburn Gresham,2023,1,Police,10.24
Roseland,2019,12,Medical,9.23
Beverly,2023,7,Medical,4.62
Englewood,2022,7,Fire,10.62
Irving Park,2024,12,Medical,12.52
Near West Side,2022,2,Fire,9.1
Auburn Gresham,2024,7,Medical,6.04
West Garfield Park,2023,7,Police,16.66
Albany Park,2019,9,Police,12.11
Irving Park,2023,6,Fire,13.1
Austin,2019,10,Police,7.36
Kenwood,2022,11,Medical,6.17
Near West Side,2021,10,Police,6.04
Edison Park,2020,9,Medical,6.48
Pullman,2022,3,Fire,10.04
Near South Side,2023,8,Medical,11.31
West Garfield Park,2023,4,Medical,13.78
Grand Boulevard,2019,11,Fire,7.22
Auburn Gresham,2020,1,Medical,8.07
Austin,2024,7,Fire,9.85
Lincoln Park,2022,3,Medical,3.36
Edison Park,2020,4,Fire,6.58
Washington Park,2020,3,Medical,6.78
North Lawndale,2022,6,Police,7.38
Washington Park,2019,10,Fire,7.09
Irving Park,2024,1,Medical,10.44
West Town,2019,10,Medical,9.46
Hyde Park,2019,7,Medical,4.51
Morgan Park,2021,10,Medical,7.54
Hyde Park,2020,8,Medical,11.42
West Pullman,2021,3,Medical,5.69
Albany Park,2019,9,Police,11.21
Austin,2024,2,Police,11.38
Near North Side,2022,10,Medical,6.49
West Garfield Park,2020,11,Medical,11.4
Grand Boulevard,2022,10,Medical,5.83
Hyde Park,2023,9,Medical,8.76
Near South Side,2020,12,Medical,6.84
Douglas,2022,5,Police,11.44
Near North Side,2019,6,Medical,7.65
Humboldt Park,2021,2,Fire,10.93
West Town,2022,5,Police,18.27
Near North Side,2024,6,Police,7.36
Jefferson Park,2023,5,Fire,10.49
Edison Park,2019,4,Medical,4.52
Grand Boulevard,2023,8,Police,9.61
Chatham,2024,2,Police,8.41
North Lawndale,2024,1,Medical,9.76
Pullman,2021,2,Police,9.02
Roseland,2023,11,Police,7.21
Washington Heights,2024,4,Police,12.69
West Englewood,2022,1,Medical,9.5
North Lawndale,2024,9,Medical,4.73
Washington Heights,2024,1,Medical,10.61
West Garfield Park,2022,5,Fire,11.34
Humboldt Park,2019,8,Police,12.36
Pullman,2021,9,Police,7.07
Kenwood,2021,9,Medical,9.5
West Englewood,2020,8,Medical,12.6
Englewood,2020,6,Medical,5.15
Uptown,2022,6,Police,9.35
Auburn Gresham,2024,12,Police,10.77
Mount Greenwood,2023,9,Medical,10.36
Hyde Park,2024,2,Police,8.28
Grand Boulevard,2024,3,Police,11.24
Washington Heights,2023,6,Police,7.52
West Town,2019,8,Medical,8.39
Lincoln Square,2021,7,Police,7.36
Chatham,2022,8,Police,12.69
Douglas,2023,5,Medical,11.68
Washington Park,2020,9,Medical,13.27
Logan Square,2022,6,Police,5.89
North Lawndale,2019,12,Medical,12.16
Riverdale,2022,10,Medical,10.53
Austin,2023,2,Medical,8.91
West Ridge,2019,6,Medical,11.4
West Englewood,2024,11,Medical,11.62
Englewood,2020,4,Medical,9.92
Roseland,2020,5,Police,11.95
Logan Square,2023,5,Police,10.97
Logan Square,2019,1,Fire,8.82
North Lawndale,2020,10,Police,13.72
West Pullman,2019,5,Police,13.79
West Pullman,2022,10,Police,13.26
West Englewood,2021,11,Police,8.06
Washington Heights,2021,9,Police,7.82
Chatham,2021,8,Police,7.16
Chatham,2020,8,Fire,9.83
Austin,2023,3,Medical,7.15
Albany Park,2021,9,Fire,10.58
Roseland,2024,9,Medical,7.6
Washington Park,2023,10,Medical,8.57
Washington Heights,2021,7,Police,10.61
Loop,2022,6,Police,4.12
Lake View,2021,9,Medical,2.4
Rogers Park,2023,11,Medical,9.73
Roseland,2020,6,Medical,7.99
Uptown,2024,3,Police,10.73
Humboldt Park,2022,6,Police,11.77
Roseland,2023,11,Fire,8.82
Lincoln Square,2019,2,Fire,8.17
North Lawndale,2021,2,Police,7.13
Auburn Gresham,2022,12,Medical,10.66
Washington Park,2020,7,Medical,5.96
Rogers Park,2019,8,Medical,11.55
West Town,2021,7,Medical,6.9
Jefferson Park,2022,5,Police,11.75
West Town,2024,4,Medical,5.05
Kenwood,2023,8,Police,11.7
Lincoln Square,2021,12,Medical,9.22
Irving Park,2022,9,Medical,10.84
Auburn Gresham,2021,7,Medical,7.64
Auburn Gresham,2024,1,Police,9.81
Lincoln Park,2022,4,Police,2.46
Washington Heights,2023,4,Police,8.71
Kenwood,2021,10,Medical,9.3
Portage Park,2022,3,Police,9.38
Logan Square,2019,4,Medical,12.74
Englewood,2020,9,Medical,6.65
Washington Park,2024,1,Medical,7.86
Near North Side,2022,2,Fire,3.57
Lincoln Square,2022,7,Medical,7.6
Edison Park,2022,9,Medical,6.6
Loop,2021,7,Medical,5.32
Chatham,2024,1,Police,10.92
Albany Park,2020,7,Police,6.09
Englewood,2024,6,Medical,8.92
Hyde Park,2021,1,Police,3.77
Morgan Park,2022,1,Medical,7.35
Uptown,2024,12,Medical,7.02
Lincoln Park,2022,2,Fire,2.57
Lake View,2020,6,Medical,8.27
Lake View,2019,12,Medical,5.75
Grand Boulevard,2021,4,Police,3.69
Jefferson Park,2019,4,Medical,8.65
West Englewood,2024,6,Police,11.67
Loop,2022,9,Medical,2.7
West Englewood,2022,1,Police,11.39
North Lawndale,2023,2,Fire,7.69
West Garfield Park,2023,8,Fire,9.7
Kenwood,2019,8,Medical,7.94
Uptown,2023,11,Medical,5.88
West Pullman,2024,11,Fire,8.08
West Englewood,2020,6,Medical,6.28
Beverly,2024,6,Medical,5.15
Logan Square,2019,12,Medical,10.09
